Time,RECPROUSM156N,PCEDGC96,DSPIC96,TOTALSA,REVOLSL,NONREVSL,DGORDER,ADXDNO,HOUST,HSN1F,ADPMNUSNERSA,UNRATE,U6RATE,CIVPART,EMRATIO,JTSJOR,JTSHIR,JTSTSR,AWHAETP,CPIAUCSL,CPILFESL,PPIFIS,PCEPI,PCEPILFE,MICH,CES0500000003,AHETPI,CSUSHPINSA,IQ,IR,BOPTEXP,BOPTIMP,BOPSTB,RCES0500000003*
1943-01-01,,,,,,6577.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-02-01,,,,,,6463.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-03-01,,,,,,6234.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-04-01,,,,,,6125.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-05-01,,,,,,5936.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-06-01,,,,,,5822.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-07-01,,,,,,5718.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-08-01,,,,,,5638.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-09-01,,,,,,5647.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-10-01,,,,,,5650.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-11-01,,,,,,5576.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943-12-01,,,,,,5462.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-01-01,,,,,,5398.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-02-01,,,,,,5354.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-03-01,,,,,,5370.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-04-01,,,,,,5379.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-05-01,,,,,,5430.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-06-01,,,,,,5467.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-07-01,,,,,,5498.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-08-01,,,,,,5533.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-09-01,,,,,,5549.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-10-01,,,,,,5565.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-11-01,,,,,,5570.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944-12-01,,,,,,5585.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-01-01,,,,,,5602.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-02-01,,,,,,5573.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-03-01,,,,,,5667.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-04-01,,,,,,5582.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-05-01,,,,,,5605.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-06-01,,,,,,5704.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-07-01,,,,,,5748.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-08-01,,,,,,5767.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-09-01,,,,,,5758.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-10-01,,,,,,5932.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-11-01,,,,,,6095.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945-12-01,,,,,,6567.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
