Time,realtime_start_NGDPSAXDCUSQ,value_NGDPSAXDCUSQ,Time_NGDPSAXDCUSQ
0,2021-06-14,275200.0,1950-01-01
1,2022-02-07,70207.0,1950-01-01
2,2021-06-14,284500.0,1950-04-01
3,2022-02-07,72595.8,1950-04-01
4,2024-07-29,72595.796875,1950-04-01
5,2025-06-02,72595.8,1950-04-01
6,2025-06-16,72595.796875,1950-04-01
7,2025-07-21,72595.8,1950-04-01
8,2021-06-14,301900.0,1950-07-01
9,2022-02-07,77038.3,1950-07-01
10,2024-07-29,77038.296875,1950-07-01
11,2025-06-02,77038.3,1950-07-01
12,2025-06-16,77038.296875,1950-07-01
13,2025-07-21,77038.3,1950-07-01
14,2021-06-14,313300.0,1950-10-01
15,2022-02-07,79986.3,1950-10-01
16,2024-07-29,79986.296875,1950-10-01
17,2025-06-02,79986.3,1950-10-01
18,2025-06-16,79986.296875,1950-10-01
19,2025-07-21,79986.3,1950-10-01
20,2021-06-14,329000.0,1951-01-01
21,2022-02-07,84000.0,1951-01-01
22,2021-06-14,336600.0,1951-04-01
23,2022-02-07,86022.5,1951-04-01
24,2021-06-14,343500.0,1951-07-01
25,2022-02-07,87846.3,1951-07-01
26,2024-07-29,87846.296875,1951-07-01
27,2025-06-02,87846.3,1951-07-01
28,2025-06-16,87846.296875,1951-07-01
29,2025-07-21,87846.3,1951-07-01
30,2021-06-14,347900.0,1951-10-01
31,2022-02-07,89044.5,1951-10-01
32,2021-06-14,,1952-01-01
33,2022-02-07,89955.0,1952-01-01
34,2021-06-14,,1952-04-01
35,2022-02-07,90257.5,1952-04-01
36,2021-06-14,,1952-07-01
37,2022-02-07,91925.3,1952-07-01
38,2024-07-29,91925.296875,1952-07-01
39,2025-06-02,91925.3,1952-07-01
40,2025-06-16,91925.296875,1952-07-01
41,2025-07-21,91925.3,1952-07-01
42,2021-06-14,,1952-10-01
43,2022-02-07,95203.0,1952-10-01
44,2021-06-14,,1953-01-01
45,2022-02-07,96995.0,1953-01-01
46,2021-06-14,,1953-04-01
47,2022-02-07,97937.3,1953-04-01
48,2024-07-29,97937.296875,1953-04-01
49,2025-06-02,97937.3,1953-04-01
50,2025-06-16,97937.296875,1953-04-01
51,2025-07-21,97937.3,1953-04-01
52,2021-06-14,,1953-07-01
53,2022-02-07,97792.8,1953-07-01
54,2024-07-29,97792.796875,1953-07-01
55,2025-06-02,97792.8,1953-07-01
56,2025-06-16,97792.796875,1953-07-01
57,2025-07-21,97792.8,1953-07-01
58,2021-06-14,,1953-10-01
59,2022-02-07,96492.5,1953-10-01
60,2021-06-14,,1954-01-01
61,2022-02-07,96336.3,1954-01-01
62,2024-07-29,96336.296875,1954-01-01
63,2025-06-02,96336.3,1954-01-01
64,2025-06-16,96336.296875,1954-01-01
65,2025-07-21,96336.3,1954-01-01
66,2021-06-14,,1954-04-01
67,2022-02-07,96530.3,1954-04-01
68,2024-07-29,96530.296875,1954-04-01
69,2025-06-02,96530.3,1954-04-01
70,2025-06-16,96530.296875,1954-04-01
71,2025-07-21,96530.3,1954-04-01
72,2021-06-14,,1954-07-01
73,2022-02-07,97749.0,1954-07-01
74,2021-06-14,,1954-10-01
75,2022-02-07,99933.5,1954-10-01
76,2021-06-14,,1955-01-01
77,2022-02-07,103268.3,1955-01-01
78,2024-07-29,103268.296875,1955-01-01
79,2025-06-02,103268.3,1955-01-01
80,2025-06-16,103268.296875,1955-01-01
81,2025-07-21,103268.3,1955-01-01
82,2021-06-14,,1955-04-01
83,2022-02-07,105383.0,1955-04-01
84,2021-06-14,,1955-07-01
85,2022-02-07,107555.3,1955-07-01
86,2024-07-29,107555.296875,1955-07-01
87,2025-06-02,107555.3,1955-07-01
88,2025-06-16,107555.296875,1955-07-01
89,2025-07-21,107555.3,1955-07-01
90,2021-06-14,,1955-10-01
91,2022-02-07,109273.0,1955-10-01
92,2021-06-14,,1956-01-01
93,2022-02-07,109936.5,1956-01-01
94,2021-06-14,,1956-04-01
95,2022-02-07,111502.5,1956-04-01
96,2021-06-14,,1956-07-01
97,2022-02-07,112797.8,1956-07-01
98,2024-07-29,112797.796875,1956-07-01
99,2025-06-02,112797.8,1956-07-01
100,2025-06-16,112797.796875,1956-07-01
101,2025-07-21,112797.8,1956-07-01
102,2021-06-14,,1956-10-01
103,2022-02-07,115115.8,1956-10-01
104,2024-07-29,115115.796875,1956-10-01
105,2025-06-02,115115.8,1956-10-01
106,2025-06-16,115115.796875,1956-10-01
107,2025-07-21,115115.8,1956-10-01
108,2021-06-14,,1957-01-01
109,2022-02-07,117444.8,1957-01-01
110,2024-07-29,117444.796875,1957-01-01
111,2025-06-02,117444.8,1957-01-01
112,2025-06-16,117444.796875,1957-01-01
113,2025-07-21,117444.8,1957-01-01
114,2021-06-14,,1957-04-01
115,2022-02-07,118006.3,1957-04-01
116,2024-07-29,118006.296875,1957-04-01
117,2025-06-02,118006.3,1957-04-01
118,2025-06-16,118006.296875,1957-04-01
119,2025-07-21,118006.3,1957-04-01
120,2021-06-14,,1957-07-01
121,2022-02-07,119872.5,1957-07-01
122,2021-06-14,,1957-10-01
123,2022-02-07,118716.0,1957-10-01
124,2021-06-14,,1958-01-01
125,2022-02-07,116885.0,1958-01-01
126,2021-06-14,,1958-04-01
127,2022-02-07,117994.5,1958-04-01
128,2021-06-14,,1958-07-01
129,2022-02-07,121460.3,1958-07-01
130,2024-07-29,121460.296875,1958-07-01
131,2025-06-02,121460.3,1958-07-01
132,2025-06-16,121460.296875,1958-07-01
133,2025-07-21,121460.3,1958-07-01
134,2021-06-14,,1958-10-01
135,2022-02-07,124888.8,1958-10-01
136,2024-07-29,124888.796875,1958-10-01
137,2025-06-02,124888.8,1958-10-01
138,2025-06-16,124888.796875,1958-10-01
139,2025-07-21,124888.8,1958-10-01
140,2021-06-14,,1959-01-01
141,2022-02-07,127582.5,1959-01-01
142,2021-06-14,,1959-04-01
143,2022-02-07,130663.3,1959-04-01
144,2024-07-29,130663.296875,1959-04-01
145,2025-06-02,130663.3,1959-04-01
146,2025-06-16,130663.296875,1959-04-01
147,2025-07-21,130663.3,1959-04-01
148,2021-06-14,,1959-07-01
149,2022-02-07,131258.5,1959-07-01
150,2021-06-14,,1959-10-01
151,2022-02-07,132150.0,1959-10-01
152,2021-06-14,,1960-01-01
153,2022-02-07,135662.0,1960-01-01
154,2021-06-14,,1960-04-01
155,2022-02-07,135270.0,1960-04-01
156,2021-06-14,,1960-07-01
157,2022-02-07,136401.0,1960-07-01
158,2021-06-14,,1960-10-01
159,2022-02-07,135049.3,1960-10-01
160,2024-07-29,135049.296875,1960-10-01
161,2025-06-02,135049.3,1960-10-01
162,2025-06-16,135049.296875,1960-10-01
163,2025-07-21,135049.3,1960-10-01
164,2021-06-14,,1961-01-01
165,2022-02-07,136254.5,1961-01-01
166,2021-06-14,,1961-04-01
167,2022-02-07,138886.3,1961-04-01
168,2024-07-29,138886.296875,1961-04-01
169,2025-06-02,138886.3,1961-04-01
170,2025-06-16,138886.296875,1961-04-01
171,2025-07-21,138886.3,1961-04-01
172,2021-06-14,,1961-07-01
173,2022-02-07,141916.0,1961-07-01
174,2021-06-14,,1961-10-01
175,2022-02-07,145153.0,1961-10-01
176,2021-06-14,,1962-01-01
177,2022-02-07,148503.3,1962-01-01
178,2024-07-29,148503.296875,1962-01-01
179,2025-06-02,148503.3,1962-01-01
180,2025-06-16,148503.296875,1962-01-01
181,2025-07-21,148503.3,1962-01-01
182,2021-06-14,,1962-04-01
183,2022-02-07,150091.5,1962-04-01
184,2021-06-14,,1962-07-01
185,2022-02-07,152256.8,1962-07-01
186,2024-07-29,152256.796875,1962-07-01
187,2025-06-02,152256.8,1962-07-01
188,2025-06-16,152256.796875,1962-07-01
189,2025-07-21,152256.8,1962-07-01
190,2021-06-14,,1962-10-01
191,2022-02-07,153070.0,1962-10-01
192,2021-06-14,,1963-01-01
193,2022-02-07,155418.0,1963-01-01
194,2021-06-14,,1963-04-01
195,2022-02-07,157438.0,1963-04-01
196,2021-06-14,,1963-07-01
197,2022-02-07,161111.0,1963-07-01
198,2021-06-14,,1963-10-01
199,2022-02-07,163484.5,1963-10-01
200,2021-06-14,,1964-01-01
201,2022-02-07,167455.5,1964-01-01
202,2021-06-14,,1964-04-01
203,2022-02-07,169668.5,1964-04-01
204,2021-06-14,,1964-07-01
205,2022-02-07,173007.8,1964-07-01
206,2024-07-29,173007.796875,1964-07-01
207,2025-06-02,173007.8,1964-07-01
