Time,GDPC1,NGDPSAXDCUSQ,GDPNOW,PCECC96,ECIWAG
1947-01-01,2182.681,,,1351.397,
1947-04-01,2176.892,,,1373.88,
1947-07-01,2172.432,,,1378.358,
1947-10-01,2206.452,,,1378.796,
1948-01-01,2239.682,,,1385.667,
1948-04-01,2276.69,,,1401.789,
1948-07-01,2289.77,,,1403.859,
1948-10-01,2292.364,,,1415.063,
1949-01-01,2260.807,,,1417.353,
1949-04-01,2253.128,,,1439.077,
1949-07-01,2276.424,,,1442.341,
1949-10-01,2257.352,,,1463.488,
1950-01-01,2346.104,70207.0,,1487.854,
1950-04-01,2417.682,72595.8,,1512.357,
1950-07-01,2511.127,77038.3,,1590.019,
1950-10-01,2559.214,79986.3,,1542.087,
1951-01-01,2593.967,84000.0,,1579.375,
1951-04-01,2638.898,86022.5,,1534.744,
1951-07-01,2693.259,87846.3,,1552.624,
1951-10-01,2699.156,89044.5,,1561.67,
1952-01-01,2727.954,89955.0,,1565.288,
1952-04-01,2733.8,90257.5,,1595.941,
1952-07-01,2753.517,91925.3,,1603.596,
1952-10-01,2843.941,95203.0,,1660.168,
1953-01-01,2896.811,96995.0,,1679.665,
1953-04-01,2919.206,97937.3,,1689.777,
1953-07-01,2902.785,97792.8,,1685.752,
1953-10-01,2858.845,96492.5,,1674.449,
1954-01-01,2845.192,96336.3,,1680.625,
1954-04-01,2848.305,96530.3,,1702.449,
1954-07-01,2880.482,97749.0,,1725.489,
1954-10-01,2936.852,99933.5,,1761.703,
1955-01-01,3020.746,103268.3,,1801.231,
1955-04-01,3069.91,105383.0,,1835.737,
1955-07-01,3111.379,107555.3,,1858.411,
1955-10-01,3130.068,109273.0,,1881.748,
1956-01-01,3117.922,109936.5,,1884.805,
1956-04-01,3143.694,111502.5,,1891.074,
1956-07-01,3140.874,112797.8,,1895.35,
1956-10-01,3192.57,115115.8,,1921.479,
1957-01-01,3213.011,117444.8,,1934.843,
1957-04-01,3205.97,118006.3,,1938.216,
1957-07-01,3237.386,119872.5,,1953.532,
1957-10-01,3203.894,118716.0,,1954.346,
1958-01-01,3120.724,116885.0,,1927.309,
1958-04-01,3141.224,117994.5,,1943.243,
1958-07-01,3213.884,121460.3,,1975.484,
1958-10-01,3289.032,124888.8,,2002.318,
1959-01-01,3352.129,127582.5,,2039.017,
1959-04-01,3427.667,130663.3,,2070.508,
1959-07-01,3430.057,131258.5,,2092.138,
1959-10-01,3439.832,132150.0,,2094.495,
1960-01-01,3517.181,135662.0,,2114.532,
1960-04-01,3498.246,135270.0,,2141.205,
1960-07-01,3515.385,136401.0,,2132.646,
1960-10-01,3470.278,135049.3,,2135.408,
1961-01-01,3493.703,136254.5,,2134.615,
1961-04-01,3553.021,138886.3,,2166.382,
1961-07-01,3621.252,141916.0,,2176.916,
1961-10-01,3692.289,145153.0,,2220.704,
1962-01-01,3758.147,148503.3,,2244.227,
1962-04-01,3792.149,150091.5,,2271.817,
1962-07-01,3838.776,152256.8,,2290.126,
1962-10-01,3851.421,153070.0,,2322.53,
1963-01-01,3893.482,155418.0,,2338.799,
1963-04-01,3937.183,157438.0,,2360.869,
1963-07-01,4023.755,161111.0,,2392.896,
1963-10-01,4050.147,163484.5,,2412.836,
1964-01-01,4135.553,167455.5,,2460.191,
1964-04-01,4180.592,169668.5,,2503.709,
1964-07-01,4245.918,173007.8,,2549.958,
1964-10-01,4259.046,174329.8,,2557.236,
1965-01-01,4362.111,179447.5,,2614.265,
1965-04-01,4417.225,182547.8,,2643.097,
1965-07-01,4515.427,187330.8,,2688.512,
1965-10-01,4619.458,192964.3,,2764.094,
1966-01-01,4731.888,198933.5,,2804.899,
1966-04-01,4748.046,201245.3,,2812.086,
1966-07-01,4788.254,204909.5,,2844.198,
1966-10-01,4827.537,208325.5,,2856.047,
1967-01-01,4870.299,211042.5,,2872.504,
1967-04-01,4873.287,212245.8,,2911.776,
1967-07-01,4919.392,216308.3,,2926.685,
1967-10-01,4956.477,220359.8,,2944.594,
1968-01-01,5057.553,227346.8,,3015.162,
1968-04-01,5142.033,233586.0,,3061.075,
1968-07-01,5181.859,237706.3,,3118.445,
1968-10-01,5202.212,242007.5,,3132.511,
1969-01-01,5283.597,248334.3,,3167.245,
1969-04-01,5299.625,252255.0,,3187.677,
1969-07-01,5334.6,257489.0,,3203.218,
1969-10-01,5308.556,259536.8,,3228.82,
1970-01-01,5300.652,262800.0,,3248.853,
1970-04-01,5308.164,266843.8,,3263.571,
1970-07-01,5357.077,271514.8,,3292.183,
1970-10-01,5299.672,272152.0,,3283.245,
1971-01-01,5443.619,283789.0,,3346.268,
1971-04-01,5473.059,289067.8,,3377.022,
1971-07-01,5518.072,294418.8,,3403.947,
1971-10-01,5531.032,297574.3,,3460.427,
1972-01-01,5632.649,307652.3,,3506.098,
1972-04-01,5760.47,316592.3,,3572.842,
1972-07-01,5814.854,322641.5,,3627.904,
1972-10-01,5912.22,332226.0,,3713.038,
1973-01-01,6058.544,344372.5,,3780.829,
1973-04-01,6124.506,353471.8,,3779.125,
1973-07-01,6092.301,358459.5,,3792.426,
1973-10-01,6150.131,369072.3,,3781.115,
1974-01-01,6097.258,372802.3,,3747.286,
1974-04-01,6111.751,382514.0,,3760.779,
1974-07-01,6053.978,390006.5,,3776.934,
1974-10-01,6030.464,399919.8,,3721.726,
1975-01-01,5957.035,404029.0,,3752.942,
1975-04-01,5999.61,412963.3,,3814.672,
1975-07-01,6102.326,427455.0,,3868.889,
1975-10-01,6184.53,440457.8,,3910.492,
1976-01-01,6323.649,455121.8,,3988.677,
1976-04-01,6370.025,463083.0,,4025.375,
1976-07-01,6404.895,471639.5,,4067.757,
1976-10-01,6451.177,483568.3,,4120.536,
1977-01-01,6527.703,497162.0,,4169.104,
1977-04-01,6654.466,513977.3,,4191.711,
1977-07-01,6774.457,529618.3,,4231.345,
1977-10-01,6774.592,541067.5,,4294.965,
1978-01-01,6796.26,550690.0,,4319.094,
1978-04-01,7058.92,582908.3,,4411.431,
1978-07-01,7129.915,598763.3,,4429.955,
1978-10-01,7225.75,619237.3,,4465.702,
1979-01-01,7238.727,631652.5,,4488.83,
1979-04-01,7246.454,647811.8,,4485.916,
1979-07-01,7300.281,666891.3,,4529.568,
1979-10-01,7318.535,680970.8,,4540.839,
1980-01-01,7341.557,697460.5,,4534.348,63.1
1980-04-01,7190.289,699338.0,,4432.231,64.5
1980-07-01,7181.743,714120.8,,4480.849,65.9
1980-10-01,7315.677,746389.3,,4541.39,67.3
1981-01-01,7459.022,781051.5,,4556.603,69.0
1981-04-01,7403.745,790633.0,,4556.934,70.5
1981-07-01,7492.405,815152.3,,4578.013,71.8
1981-10-01,7410.768,820204.5,,4546.699,73.2
1982-01-01,7295.631,818575.5,,4580.19,74.6
1982-04-01,7328.912,832993.0,,4594.142,75.5
1982-07-01,7300.896,841580.5,,4624.939,76.8
1982-10-01,7303.817,850640.3,,4705.953,77.7
1983-01-01,7400.066,868353.3,,4752.481,78.6
1983-04-01,7568.456,894712.0,,4849.254,79.6
1983-07-01,7719.746,922294.8,,4936.211,80.6
1983-10-01,7880.794,948676.5,,5014.874,81.6
1984-01-01,8034.847,977013.5,,5056.492,82.5
1984-04-01,8173.67,1002400.3,,5127.332,83.3
1984-07-01,8252.465,1021062.5,,5165.357,83.9
1984-10-01,8320.199,1037137.8,,5232.266,84.9
1985-01-01,8400.82,1057542.0,,5321.159,85.9
1985-04-01,8474.787,1073721.8,,5370.011,86.9
1985-07-01,8604.22,1096693.3,,5472.014,87.9
1985-10-01,8668.188,1111023.5,,5483.866,88.5
1986-01-01,8749.127,1126973.5,,5531.807,89.4
1986-04-01,8788.524,1136335.0,,5592.08,90.0
1986-07-01,8872.601,1151917.3,,5690.971,90.5
1986-10-01,8920.193,1164406.8,,5725.812,91.2
1987-01-01,8986.367,1180539.0,,5731.226,92.0
1987-04-01,9083.256,1201540.0,,5809.376,92.6
1987-07-01,9162.024,1221138.8,,5875.641,93.5
1987-10-01,9319.332,1251998.5,,5888.065,94.2
1988-01-01,9367.502,1268343.0,,5992.101,95.0
1988-04-01,9490.594,1297509.0,,6036.355,96.1
1988-07-01,9546.206,1320708.8,,6090.001,96.9
1988-10-01,9673.405,1349877.3,,6159.246,98.0
1989-01-01,9771.725,1377813.3,,6187.816,99.1
1989-04-01,9846.293,1403115.8,,6216.695,100.0
1989-07-01,9919.228,1423841.3,,6276.877,101.1
1989-10-01,9938.767,1436809.3,,6304.157,102.2
1990-01-01,10047.386,1468175.3,,6357.213,103.2
1990-04-01,10083.855,1490007.0,,6376.579,104.4
1990-07-01,10090.569,1503779.0,,6401.841,105.4
1990-10-01,9998.704,1501183.3,,6353.139,106.2
1991-01-01,9951.916,1508794.5,,6329.249,107.3
1991-04-01,10029.51,1531715.5,,6381.703,108.4
1991-07-01,10080.195,1551484.3,,6413.521,109.2
1991-10-01,10115.329,1566135.0,,6410.312,110.1
1992-01-01,10236.435,1590775.5,,6530.335,111.0
1992-04-01,10347.429,1617690.8,,6574.665,111.6
1992-07-01,10449.673,1641660.3,,6645.14,112.1
1992-10-01,10558.648,1670200.8,,6724.342,113.0
1993-01-01,10576.275,1682364.8,,6750.123,113.9
1993-04-01,10637.847,1702234.8,,6811.522,114.6
1993-07-01,10688.606,1720524.5,,6887.329,115.6
1993-10-01,10833.987,1753434.5,,6947.788,116.5
1994-01-01,10939.116,1778913.0,,7027.255,117.1
1994-04-01,11087.361,1811732.8,,7081.931,118.1
1994-07-01,11152.176,1832768.8,,7135.93,119.0
1994-10-01,11279.932,1863822.0,,7213.079,119.7
1995-01-01,11319.951,1880572.3,,7231.032,120.6
1995-04-01,11353.721,1895249.3,,7294.424,121.5
1995-07-01,11450.31,1920781.3,,7360.529,122.4
1995-10-01,11528.067,1943146.5,,7411.873,123.2
1996-01-01,11614.418,1967117.0,,7480.231,124.4
1996-04-01,11808.14,2008210.0,,7560.702,125.6
1996-07-01,11914.063,2032852.0,,7606.475,126.4
1996-10-01,12037.775,2064942.8,,7667.062,127.4
1997-01-01,12115.472,2090663.8,,7747.88,128.5
1997-04-01,12317.221,2129706.3,,7782.76,129.7
1997-07-01,12471.01,2165705.8,,7915.359,130.9
1997-10-01,12577.495,2191476.8,,8009.964,132.5
1998-01-01,12703.742,2216620.0,,8090.987,133.7
1998-04-01,12821.339,2242424.8,,8233.463,134.8
1998-07-01,12982.752,2280274.3,,8340.831,136.5
1998-10-01,13191.67,2323497.8,,8461.33,137.6
1999-01-01,13315.597,2352920.5,,8548.235,138.1
1999-04-01,13426.748,2381552.5,,8679.143,139.7
1999-07-01,13604.771,2421656.5,,8776.715,140.9
1999-10-01,13827.98,2475042.3,,8905.093,142.3
2000-01-01,13878.147,2500544.8,,9039.743,143.9
2000-04-01,14130.908,2561930.0,,9124.152,145.4
2000-07-01,14145.312,2579541.3,,9211.569,146.7
2000-10-01,14229.765,2608936.0,,9292.05,147.9
2001-01-01,14183.12,2617557.8,,9325.751,87.6
2001-04-01,14271.694,2649750.0,,9344.486,88.4
2001-07-01,14214.516,2649505.0,,9377.003,89.2
2001-10-01,14253.574,2665116.3,,9528.302,90.0
2002-01-01,14372.785,2695875.0,,9549.516,90.7
2002-04-01,14460.848,2721865.0,,9597.82,91.6
2002-07-01,14519.633,2746010.0,,9664.988,92.0
2002-10-01,14537.58,2765358.3,,9718.745,92.3
2003-01-01,14614.141,2793532.3,,9766.616,93.3
2003-04-01,14743.567,2828191.5,,9878.442,93.8
2003-07-01,14988.782,2891667.3,,10018.122,94.7
2003-10-01,15162.76,2943058.5,,10087.092,95.2
2004-01-01,15248.68,2980861.8,,10181.141,95.7
2004-04-01,15366.85,3028203.8,,10236.694,96.4
2004-07-01,15512.619,3076326.8,,10356.936,97.2
2004-10-01,15670.88,3131803.5,,10474.084,97.7
2005-01-01,15844.727,3191821.5,,10540.638,98.3
2005-04-01,15922.782,3230664.0,,10657.449,98.8
2005-07-01,16047.587,3285660.5,,10745.873,99.4
2005-10-01,16136.734,3331051.0,,10765.68,100.1
2006-01-01,16353.835,3399790.0,,10883.075,100.8
2006-04-01,16396.151,3438356.0,,10939.498,101.6
2006-07-01,16420.738,3467547.0,,11009.748,102.5
2006-10-01,16561.866,3509890.0,,11114.771,103.3
2007-01-01,16611.69,3553912.8,,11183.323,104.3
2007-04-01,16713.314,3600520.5,,11212.669,105.1
2007-07-01,16809.587,3641029.3,,11287.468,105.9
2007-10-01,16915.191,3678764.5,,11331.949,106.7
2008-01-01,16843.003,3676634.5,,11316.411,107.6
2008-04-01,16943.291,3716425.3,,11347.595,108.4
2008-07-01,16854.295,3724749.8,,11260.136,109.0
2008-10-01,16485.35,3652052.3,,11158.801,109.5
2009-01-01,16298.262,3607725.5,,11130.464,109.8
2009-04-01,16269.145,3595309.0,,11075.748,110.1
2009-07-01,16326.281,3612220.5,,11150.23,110.5
2009-10-01,16502.754,3662812.3,,11137.946,111.0
2010-01-01,16582.71,3691152.5,,11202.495,111.4
2010-04-01,16743.162,3745048.3,,11302.955,111.9
2010-07-01,16872.266,3785401.8,,11383.596,112.3
2010-10-01,16960.864,3827368.5,,11453.368,112.9
2011-01-01,16920.632,3837862.0,,11497.12,113.2
2011-04-01,17035.114,3889384.8,,11508.95,113.7
2011-07-01,17031.313,3911920.0,3.2445,11543.975,114.2
2011-10-01,17222.583,3960564.8,5.1684,11563.89,114.7
2012-01-01,17367.01,4017201.3,3.0151,11647.297,115.3
2012-04-01,17444.525,4051778.8,0.2243,11667.753,115.8
2012-07-01,17469.65,4079885.3,1.849,11691.414,116.3
2012-10-01,17489.852,4105104.8,0.0776,11738.007,116.7
2013-01-01,17662.4,4162047.3,2.8718,11814.326,117.4
2013-04-01,17709.671,4182171.8,1.3,11848.089,118.0
2013-07-01,17860.45,4238459.5,2.3233,11896.258,118.4
2013-10-01,18016.147,4298004.8,3.1249,12001.027,119.1
2014-01-01,17953.974,4299434.5,0.3489,12044.203,119.4
2014-04-01,18185.911,4379627.0,2.6666,12159.899,120.2
2014-07-01,18406.941,4451057.0,2.6999,12280.086,121.1
2014-10-01,18500.031,4478019.8,3.4918,12421.595,121.8
2015-01-01,18666.621,4515882.3,0.0988,12516.902,122.6
2015-04-01,18782.243,4569946.0,2.4328,12603.053,122.8
2015-07-01,18857.418,4600406.5,1.0637,12691.79,123.6
2015-10-01,18892.206,4608784.3,1.0179,12743.411,124.3
2016-01-01,19001.69,4631483.3,0.6209,12839.618,125.1
2016-04-01,19062.709,4677925.5,1.8333,12903.306,126.0
2016-07-01,19197.938,4723159.8,2.0953,12993.064,126.6
2016-10-01,19304.352,4772344.8,2.8814,13060.061,127.3
2017-01-01,19398.343,4820021.0,0.1699,13160.475,128.2
2017-04-01,19506.949,4859660.8,2.8194,13225.743,129.0
2017-07-01,19660.766,4923148.8,2.7182,13315.382,129.9
2017-10-01,19882.352,5009272.0,3.406,13460.902,130.8
2018-01-01,20044.077,5082138.3,1.9834,13558.373,132.0
2018-04-01,20150.476,5145228.0,3.8225,13630.967,132.8
2018-07-01,20276.154,5199682.5,3.5537,13693.79,133.9
2018-10-01,20304.874,5229466.8,1.8466,13736.572,134.9
2019-01-01,20431.641,5277900.0,2.6711,13758.331,135.8
2019-04-01,20602.275,5349484.5,1.3334,13875.705,136.8
2019-07-01,20843.322,5429292.8,1.6752,14033.222,137.9
2019-10-01,20985.448,5483304.3,1.7394,14125.274,138.9
2020-01-01,20709.212,5437809.5,-0.9691,13887.048,140.3
2020-04-01,19077.992,4989572.8,-32.0844,12685.319,140.8
2020-07-01,20558.879,5426109.3,36.9708,13813.706,141.6
2020-10-01,20791.917,5521790.0,7.16,14001.366,142.8
2021-01-01,21082.134,5670173.3,7.8694,14319.617,144.5
2021-04-01,21440.929,5856477.5,6.4265,14820.014,145.8
2021-07-01,21617.828,5995594.8,0.195,14943.244,148.0
2021-10-01,21988.737,6203400.0,6.4986,15086.862,149.9
2022-01-01,21932.71,6312586.8,0.3728,15100.85,151.7
2022-04-01,21967.045,6465323.0,-1.2002,15224.357,154.0
2022-07-01,22125.625,6584076.0,3.0885,15295.828,155.8
2022-10-01,22278.345,6692628.5,3.5294,15326.248,157.6
2023-01-01,22439.607,6804111.3,1.1326,15495.754,159.4
2023-04-01,22580.499,6882513.8,2.4126,15553.719,161.1
2023-07-01,22840.989,7018711.5,5.4052,15671.906,162.8
2023-10-01,23033.78,7106180.5,2.3834,15789.717,164.4
2024-01-01,23082.119,7177040.3,2.7047,15857.704,166.2
2024-04-01,23286.508,7286761.0,2.6132,16009.637,167.6
2024-07-01,23478.57,7377916.0,2.789,16165.768,168.9
2024-10-01,23586.542,7456295.5,2.2711,16320.89,170.5
2025-01-01,23548.21,7510528.3,-2.7318,16345.793,171.8
2025-04-01,23770.976,7621432.3,2.902,16445.685,173.563
2025-07-01,24026.834,7774506.8,3.4728,16585.878,174.948
2025-10-01,24055.749,7855631.5,4.2373,16665.219,176.233
2026-01-01,24174.527,7964064.3,1.2392,16731.167,177.498
2026-04-01,,,3.7469,,
