Time,GDPC1,NGDPSAXDCUSQ,GDPNOW,PCECC96,PCNDGC96,PNFIC1,PRFIC1,GCE,ECIWAG,EXPGS,IMPGS,NETEXP
1939-01-01,,,,,,,,,,,,
1939-04-01,,,,,,,,,,,,
1939-07-01,,,,,,,,,,,,
1939-10-01,,,,,,,,,,,,
1940-01-01,,,,,,,,,,,,
1940-04-01,,,,,,,,,,,,
1940-07-01,,,,,,,,,,,,
1940-10-01,,,,,,,,,,,,
1941-01-01,,,,,,,,,,,,
1941-04-01,,,,,,,,,,,,
1941-07-01,,,,,,,,,,,,
1941-10-01,,,,,,,,,,,,
1942-01-01,,,,,,,,,,,,
1942-04-01,,,,,,,,,,,,
1942-07-01,,,,,,,,,,,,
1942-10-01,,,,,,,,,,,,
1943-01-01,,,,,,,,,,,,
1943-04-01,,,,,,,,,,,,
1943-07-01,,,,,,,,,,,,
1943-10-01,,,,,,,,,,,,
1944-01-01,,,,,,,,,,,,
1944-04-01,,,,,,,,,,,,
1944-07-01,,,,,,,,,,,,
1944-10-01,,,,,,,,,,,,
1945-01-01,,,,,,,,,,,,
1945-04-01,,,,,,,,,,,,
1945-07-01,,,,,,,,,,,,
1945-10-01,,,,,,,,,,,,
1946-01-01,,,,,,,,,,,,
1946-04-01,,,,,,,,,,,,
1946-07-01,,,,,,,,,,,,
1946-10-01,,,,,,,,,,,,
1947-01-01,2182.681,,,1351.397,,,,40.274,,18.394,7.519,10.875
1947-04-01,2176.892,,,1373.88,,,,40.138,,19.497,8.203,11.294
1947-07-01,2172.432,,,1378.358,,,,39.361,,19.433,7.663,11.77
1947-10-01,2206.452,,,1378.796,,,,39.534,,17.636,8.347,9.289
1948-01-01,2239.682,,,1385.667,,,,40.875,,16.917,9.624,7.293
1948-04-01,2276.69,,,1401.789,,,,42.884,,15.241,10.036,5.205
1948-07-01,2289.77,,,1403.859,,,,44.66,,15.405,10.456,4.949
1948-10-01,2292.364,,,1415.063,,,,46.603,,14.625,10.124,4.501
1949-01-01,2260.807,,,1417.353,,,,48.585,,16.082,9.604,6.478
1949-04-01,2253.128,,,1439.077,,,,50.381,,15.647,9.364,6.283
1949-07-01,2276.424,,,1442.341,,,,50.356,,14.115,8.936,5.179
1949-10-01,2257.352,,,1463.488,,,,49.91,,12.091,9.092,2.999
1950-01-01,2346.104,70207.0,,1487.854,,,,48.956,,11.704,9.501,2.203
1950-04-01,2417.682,72595.8,,1512.357,,,,49.643,,11.872,10.229,1.643
1950-07-01,2511.127,77038.3,,1590.019,,,,49.746,,12.293,13.033,-0.74
1950-10-01,2559.214,79986.3,,1542.087,,,,53.713,,13.531,13.685,-0.154
1951-01-01,2593.967,84000.0,,1579.375,,,,62.033,,15.043,14.866,0.177
1951-04-01,2638.898,86022.5,,1534.744,,,,69.821,,17.121,15.178,1.943
1951-07-01,2693.259,87846.3,,1552.624,,,,78.046,,18.052,14.31,3.742
1951-10-01,2699.156,89044.5,,1561.67,,,,83.314,,18.18,13.99,4.19
1952-01-01,2727.954,89955.0,,1565.288,,,,84.998,,18.679,14.958,3.721
1952-04-01,2733.8,90257.5,,1595.941,,,,88.987,,16.581,14.63,1.951
1952-07-01,2753.517,91925.3,,1603.596,,,,90.931,,15.246,15.25,-0.004
1952-10-01,2843.941,95203.0,,1660.168,,,,93.418,,15.329,16.342,-1.013
1953-01-01,2896.811,96995.0,,1679.665,,,,95.764,,15.128,15.795,-0.667
1953-04-01,2919.206,97937.3,,1689.777,,,,97.925,,15.196,16.447,-1.251
1953-07-01,2902.785,97792.8,,1685.752,,,,96.622,,15.755,16.307,-0.552
1953-10-01,2858.845,96492.5,,1674.449,,,,96.747,,15.172,15.507,-0.335
1954-01-01,2845.192,96336.3,,1680.625,,,,94.831,,14.424,14.78,-0.356
1954-04-01,2848.305,96530.3,,1702.449,,,,92.534,,16.438,16.184,0.254
1954-07-01,2880.482,97749.0,,1725.489,,,,91.148,,15.878,15.304,0.574
1954-10-01,2936.852,99933.5,,1761.703,,,,91.356,,16.605,15.46,1.145
1955-01-01,3020.746,103268.3,,1801.231,,,,91.869,,17.273,16.169,1.104
1955-04-01,3069.91,105383.0,,1835.737,,,,92.533,,16.942,17.097,-0.155
1955-07-01,3111.379,107555.3,,1858.411,,,,94.099,,18.145,17.421,0.724
1955-10-01,3130.068,109273.0,,1881.748,,,,93.331,,18.349,18.109,0.24
1956-01-01,3117.922,109936.5,,1884.805,,,,94.848,,19.365,18.925,0.44
1956-04-01,3143.694,111502.5,,1891.074,,,,98.247,,20.882,18.973,1.909
1956-07-01,3140.874,112797.8,,1895.35,,,,98.279,,21.822,19.253,2.569
1956-10-01,3192.57,115115.8,,1921.479,,,,101.345,,23.068,18.541,4.527
1957-01-01,3213.011,117444.8,,1934.843,,,,105.342,,24.919,20.1,4.819
1957-04-01,3205.97,118006.3,,1938.216,,,,105.842,,24.369,20.27,4.099
1957-07-01,3237.386,119872.5,,1953.532,,,,107.405,,23.759,19.762,3.997
1957-10-01,3203.894,118716.0,,1954.346,,,,110.062,,23.022,19.634,3.388
1958-01-01,3120.724,116885.0,,1927.309,,,,109.843,,20.534,19.455,1.079
1958-04-01,3141.224,117994.5,,1943.243,,,,113.624,,20.546,20.075,0.471
1958-07-01,3213.884,121460.3,,1975.484,,,,115.093,,20.595,19.739,0.856
1958-10-01,3289.032,124888.8,,2002.318,,,,117.992,,20.563,20.823,-0.26
1959-01-01,3352.129,127582.5,,2039.017,,,,117.195,,21.915,21.396,0.519
1959-04-01,3427.667,130663.3,,2070.508,,,,118.535,,21.776,22.544,-0.768
1959-07-01,3430.057,131258.5,,2092.138,,,,119.492,,24.079,22.868,1.211
1959-10-01,3439.832,132150.0,,2094.495,,,,118.608,,23.131,22.504,0.627
1960-01-01,3517.181,135662.0,,2114.532,,,,116.951,,26.145,23.288,2.858
1960-04-01,3498.246,135270.0,,2141.205,,,,118.38,,26.85,23.455,3.395
1960-07-01,3515.385,136401.0,,2132.646,,,,122.419,,27.561,22.879,4.682
1960-10-01,3470.278,135049.3,,2135.408,,,,124.33,,27.622,21.742,5.88
1961-01-01,3493.703,136254.5,,2134.615,,,,126.218,,27.56,21.658,5.902
1961-04-01,3553.021,138886.3,,2166.382,,,,127.254,,26.627,21.899,4.727
1961-07-01,3621.252,141916.0,,2176.916,,,,129.961,,27.779,23.326,4.453
1961-10-01,3692.289,145153.0,,2220.704,,,,133.516,,28.442,23.87,4.572
1962-01-01,3758.147,148503.3,,2244.227,,,,137.107,,28.325,24.314,4.01
1962-04-01,3792.149,150091.5,,2271.817,,,,138.426,,29.662,24.884,4.777
1962-07-01,3838.776,152256.8,,2290.126,,,,142.052,,29.593,25.111,4.482
1962-10-01,3851.421,153070.0,,2322.53,,,,143.562,,28.683,25.55,3.133
1963-01-01,3893.482,155418.0,,2338.799,,,,143.724,,29.161,25.185,3.976
1963-04-01,3937.183,157438.0,,2360.869,,,,144.132,,31.448,25.89,5.558
1963-07-01,4023.755,161111.0,,2392.896,,,,149.927,,31.215,26.704,4.511
1963-10-01,4050.147,163484.5,,2412.836,,,,150.989,,32.474,26.764,5.711
1964-01-01,4135.553,167455.5,,2460.191,,,,152.554,,34.192,26.978,7.213
1964-04-01,4180.592,169668.5,,2503.709,,,,154.314,,34.03,27.726,6.305
1964-07-01,4245.918,173007.8,,2549.958,,,,156.033,,35.375,28.429,6.946
1964-10-01,4259.046,174329.8,,2557.236,,,,156.152,,36.48,29.285,7.195
1965-01-01,4362.111,179447.5,,2614.265,,,,157.025,,32.969,28.457,4.512
1965-04-01,4417.225,182547.8,,2643.097,,,,159.808,,38.367,31.679,6.688
1965-07-01,4515.427,187330.8,,2688.512,,,,166.761,,37.551,32.03,5.521
1965-10-01,4619.458,192964.3,,2764.094,,,,172.619,,39.698,33.948,5.75
