Time,realtime_start_MORTGAGE30US,value_MORTGAGE30US,Time_MORTGAGE30US
0,2013-12-19,7.33,1971-03-29
1,2013-12-19,7.31,1971-04-05
2,2013-12-19,7.31,1971-04-12
3,2013-12-19,7.31,1971-04-19
4,2013-12-19,7.29,1971-04-26
5,2013-12-19,7.38,1971-05-03
6,2013-12-19,7.42,1971-05-10
7,2013-12-19,7.44,1971-05-17
8,2013-12-19,7.46,1971-05-24
9,2013-12-19,7.52,1971-05-31
10,2013-12-19,7.52,1971-06-07
11,2013-12-19,7.54,1971-06-14
12,2013-12-19,7.54,1971-06-21
13,2013-12-19,7.54,1971-06-28
14,2013-12-19,7.54,1971-07-05
15,2013-12-19,7.6,1971-07-12
16,2013-12-19,7.65,1971-07-19
17,2013-12-19,7.69,1971-07-26
18,2013-12-19,7.66,1971-08-02
19,2013-12-19,7.73,1971-08-09
20,2013-12-19,7.71,1971-08-16
21,2013-12-19,7.69,1971-08-23
22,2013-12-19,7.71,1971-08-30
23,2013-12-19,7.67,1971-09-06
24,2013-12-19,7.7,1971-09-13
25,2013-12-19,7.67,1971-09-20
26,2013-12-19,7.67,1971-09-27
27,2013-12-19,7.63,1971-10-04
28,2013-12-19,7.63,1971-10-11
29,2013-12-19,7.58,1971-10-18
30,2013-12-19,7.63,1971-10-25
31,2013-12-19,7.59,1971-11-01
32,2013-12-19,7.56,1971-11-08
33,2013-12-19,7.54,1971-11-15
34,2013-12-19,7.51,1971-11-22
35,2013-12-19,7.49,1971-11-29
36,2013-12-19,7.47,1971-12-06
37,2013-12-19,7.48,1971-12-13
38,2013-12-19,7.48,1971-12-20
39,2013-12-19,7.48,1971-12-27
40,2013-12-19,7.46,1972-01-03
41,2013-12-19,7.46,1972-01-10
42,2013-12-19,7.43,1972-01-17
43,2013-12-19,7.4,1972-01-24
44,2013-12-19,7.35,1972-01-31
45,2013-12-19,7.33,1972-02-07
46,2013-12-19,7.31,1972-02-14
47,2013-12-19,7.31,1972-02-21
48,2013-12-19,7.32,1972-02-28
49,2013-12-19,7.32,1972-03-06
50,2013-12-19,7.31,1972-03-13
51,2013-12-19,7.31,1972-03-20
52,2013-12-19,7.23,1972-03-27
53,2013-12-19,7.25,1972-04-03
54,2013-12-19,7.29,1972-04-10
55,2013-12-19,7.29,1972-04-17
