Time,CCSA,MORTGAGE30US
1967-01-02,1134000.0,
1967-01-09,1119000.0,
1967-01-16,1119000.0,
1967-01-23,1103000.0,
1967-01-30,1131000.0,
1967-02-06,1153000.0,
1967-02-13,1167000.0,
1967-02-20,1199000.0,
1967-02-27,1235000.0,
1967-03-06,1234000.0,
1967-03-13,1236000.0,
1967-03-20,1268000.0,
1967-03-27,1291000.0,
1967-04-03,1273000.0,
1967-04-10,1278000.0,
1967-04-17,1277000.0,
1967-04-24,1286000.0,
1967-05-01,1308000.0,
1967-05-08,1284000.0,
1967-05-15,1265000.0,
1967-05-22,1253000.0,
1967-05-29,1265000.0,
1967-06-05,1251000.0,
1967-06-12,1248000.0,
1967-06-19,1220000.0,
1967-06-26,1193000.0,
1967-07-03,1248000.0,
1967-07-10,1258000.0,
1967-07-17,1252000.0,
1967-07-24,1280000.0,
1967-07-31,1240000.0,
1967-08-07,1215000.0,
1967-08-14,1202000.0,
1967-08-21,1180000.0,
1967-08-28,1204000.0,
1967-09-04,1189000.0,
1967-09-11,1179000.0,
1967-09-18,1178000.0,
1967-09-25,1157000.0,
1967-10-02,1165000.0,
1967-10-09,1189000.0,
1967-10-16,1174000.0,
1967-10-23,1161000.0,
1967-10-30,1176000.0,
1967-11-06,1142000.0,
1967-11-13,1133000.0,
1967-11-20,1142000.0,
1967-11-27,1150000.0,
1967-12-04,1153000.0,
1967-12-11,1188000.0,
1967-12-18,1195000.0,
1967-12-25,1167000.0,
1968-01-01,1158000.0,
1968-01-08,1187000.0,
1968-01-15,1191000.0,
1968-01-22,1157000.0,
1968-01-29,1173000.0,
1968-02-05,1175000.0,
1968-02-12,1143000.0,
1968-02-19,1165000.0,
1968-02-26,1151000.0,
1968-03-04,1147000.0,
1968-03-11,1143000.0,
1968-03-18,1136000.0,
1968-03-25,1119000.0,
1968-04-01,1079000.0,
1968-04-08,1079000.0,
1968-04-15,1059000.0,
1968-04-22,1087000.0,
1968-04-29,1079000.0,
1968-05-06,1091000.0,
1968-05-13,1071000.0,
1968-05-20,1073000.0,
1968-05-27,1063000.0,
1968-06-03,1097000.0,
1968-06-10,1071000.0,
1968-06-17,1060000.0,
1968-06-24,1038000.0,
1968-07-01,1097000.0,
1968-07-08,1076000.0,
1968-07-15,1033000.0,
1968-07-22,1036000.0,
1968-07-29,1072000.0,
1968-08-05,1088000.0,
1968-08-12,1107000.0,
1968-08-19,1094000.0,
1968-08-26,1064000.0,
1968-09-02,1067000.0,
1968-09-09,1044000.0,
